2026-01-15 14:26:50,244 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/82 DOWN for 16 seconds
2026-01-15 14:26:50,248 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/81 DOWN for 16 seconds
2026-01-15 14:26:50,249 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/83 DOWN for 16 seconds
2026-01-15 14:26:50,257 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/93 DOWN for 16 seconds
2026-01-15 14:26:50,258 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/88 DOWN for 16 seconds
2026-01-15 14:26:50,259 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/90 DOWN for 16 seconds
2026-01-15 14:26:50,259 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/84 DOWN for 16 seconds
2026-01-15 14:26:50,259 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/87 DOWN for 16 seconds
2026-01-15 14:26:50,259 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/95 DOWN for 16 seconds
2026-01-15 14:26:50,259 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/94 DOWN for 16 seconds
2026-01-15 14:26:50,259 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/89 DOWN for 16 seconds
2026-01-15 14:26:50,259 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/92 DOWN for 16 seconds
2026-01-15 14:26:50,261 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/96 DOWN for 16 seconds
2026-01-15 14:26:50,261 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/86 DOWN for 16 seconds
2026-01-15 14:26:50,261 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/91 DOWN for 16 seconds
2026-01-15 14:26:50,273 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/97 DOWN for 16 seconds
2026-01-15 14:26:50,273 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/99 DOWN for 16 seconds
2026-01-15 14:26:50,273 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/98 DOWN for 16 seconds
2026-01-15 14:26:50,285 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/85 DOWN for 16 seconds
2026-01-15 16:15:23,479 | INFO | MainThread | Starting URL Monitoring System
2026-01-15 16:15:39,636 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/3 DOWN for 15 seconds
2026-01-15 16:15:39,637 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/1 DOWN for 15 seconds
2026-01-15 16:15:39,637 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/6 DOWN for 15 seconds
2026-01-15 16:15:39,638 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/5 DOWN for 15 seconds
2026-01-15 16:15:39,643 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/2 DOWN for 15 seconds
2026-01-15 16:15:39,644 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/12 DOWN for 15 seconds
2026-01-15 16:15:39,646 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/16 DOWN for 15 seconds
2026-01-15 16:15:39,652 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/13 DOWN for 15 seconds
2026-01-15 16:15:39,654 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/9 DOWN for 15 seconds
2026-01-15 16:15:39,656 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/8 DOWN for 15 seconds
2026-01-15 16:15:39,657 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/14 DOWN for 15 seconds
2026-01-15 16:15:39,659 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/17 DOWN for 15 seconds
2026-01-15 16:15:39,659 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/0 DOWN for 15 seconds
2026-01-15 16:15:39,660 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/15 DOWN for 15 seconds
2026-01-15 16:15:39,660 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/4 DOWN for 15 seconds
2026-01-15 16:15:39,660 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/19 DOWN for 15 seconds
2026-01-15 16:15:39,660 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/10 DOWN for 15 seconds
2026-01-15 16:15:39,661 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/11 DOWN for 15 seconds
2026-01-15 16:15:39,661 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/7 DOWN for 15 seconds
2026-01-15 16:15:39,661 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/18 DOWN for 15 seconds
2026-01-15 16:15:39,690 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/22 DOWN for 15 seconds
2026-01-15 16:15:39,692 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/24 DOWN for 15 seconds
2026-01-15 16:15:39,693 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/27 DOWN for 15 seconds
2026-01-15 16:15:39,695 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/23 DOWN for 15 seconds
2026-01-15 16:15:39,696 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/21 DOWN for 15 seconds
2026-01-15 16:15:39,697 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/26 DOWN for 15 seconds
2026-01-15 16:15:39,699 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/25 DOWN for 15 seconds
2026-01-15 16:15:39,702 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/20 DOWN for 15 seconds
2026-01-15 16:15:39,709 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/39 DOWN for 15 seconds
2026-01-15 16:15:39,710 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/31 DOWN for 15 seconds
2026-01-15 16:15:39,715 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/34 DOWN for 15 seconds
2026-01-15 16:15:39,716 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/37 DOWN for 15 seconds
2026-01-15 16:15:39,717 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/38 DOWN for 15 seconds
2026-01-15 16:15:39,717 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/35 DOWN for 15 seconds
2026-01-15 16:15:39,717 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/28 DOWN for 15 seconds
2026-01-15 16:15:39,717 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/30 DOWN for 15 seconds
2026-01-15 16:15:39,717 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/32 DOWN for 15 seconds
2026-01-15 16:15:39,717 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/29 DOWN for 15 seconds
2026-01-15 16:15:39,717 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/33 DOWN for 15 seconds
2026-01-15 16:15:39,720 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/36 DOWN for 15 seconds
2026-01-15 16:15:39,813 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/40 DOWN for 16 seconds
2026-01-15 16:15:39,813 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/42 DOWN for 16 seconds
2026-01-15 16:15:39,814 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/43 DOWN for 16 seconds
2026-01-15 16:15:39,817 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/41 DOWN for 16 seconds
2026-01-15 16:15:39,817 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/45 DOWN for 16 seconds
2026-01-15 16:15:39,817 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/44 DOWN for 16 seconds
2026-01-15 16:15:39,832 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/46 DOWN for 16 seconds
2026-01-15 16:15:39,835 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/53 DOWN for 16 seconds
2026-01-15 16:15:39,836 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/52 DOWN for 16 seconds
2026-01-15 16:15:39,842 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/47 DOWN for 16 seconds
2026-01-15 16:15:39,843 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/50 DOWN for 16 seconds
2026-01-15 16:15:39,847 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/51 DOWN for 16 seconds
2026-01-15 16:15:39,853 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/57 DOWN for 16 seconds
2026-01-15 16:15:39,853 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/48 DOWN for 16 seconds
2026-01-15 16:15:39,854 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/49 DOWN for 16 seconds
2026-01-15 16:15:39,855 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/56 DOWN for 16 seconds
2026-01-15 16:15:39,855 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/54 DOWN for 16 seconds
2026-01-15 16:15:39,855 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/59 DOWN for 16 seconds
2026-01-15 16:15:39,856 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/58 DOWN for 16 seconds
2026-01-15 16:15:39,857 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/55 DOWN for 16 seconds
2026-01-15 16:15:39,861 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/65 DOWN for 16 seconds
2026-01-15 16:15:39,861 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/62 DOWN for 16 seconds
2026-01-15 16:15:39,862 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/63 DOWN for 16 seconds
2026-01-15 16:15:39,862 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/61 DOWN for 16 seconds
2026-01-15 16:15:39,863 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/64 DOWN for 16 seconds
2026-01-15 16:15:39,871 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/60 DOWN for 16 seconds
2026-01-15 16:15:39,890 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/67 DOWN for 16 seconds
2026-01-15 16:15:39,904 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/66 DOWN for 16 seconds
2026-01-15 16:15:39,907 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/68 DOWN for 16 seconds
2026-01-15 16:15:39,910 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/72 DOWN for 16 seconds
2026-01-15 16:15:39,912 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/73 DOWN for 16 seconds
2026-01-15 16:15:39,914 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/70 DOWN for 16 seconds
2026-01-15 16:15:39,915 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/69 DOWN for 16 seconds
2026-01-15 16:15:39,917 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/80 DOWN for 16 seconds
2026-01-15 16:15:39,918 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/78 DOWN for 16 seconds
2026-01-15 16:15:39,919 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/74 DOWN for 16 seconds
2026-01-15 16:15:39,924 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/76 DOWN for 16 seconds
2026-01-15 16:15:39,927 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/79 DOWN for 16 seconds
2026-01-15 16:15:39,928 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/77 DOWN for 16 seconds
2026-01-15 16:15:39,928 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/85 DOWN for 16 seconds
2026-01-15 16:15:39,928 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/82 DOWN for 16 seconds
2026-01-15 16:15:39,929 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/83 DOWN for 16 seconds
2026-01-15 16:15:39,929 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/81 DOWN for 16 seconds
2026-01-15 16:15:39,929 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/71 DOWN for 16 seconds
2026-01-15 16:15:39,929 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/75 DOWN for 16 seconds
2026-01-15 16:15:39,932 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/84 DOWN for 16 seconds
2026-01-15 16:15:39,935 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/86 DOWN for 16 seconds
2026-01-15 16:15:39,951 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/89 DOWN for 16 seconds
2026-01-15 16:15:39,952 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/88 DOWN for 16 seconds
2026-01-15 16:15:39,954 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/87 DOWN for 16 seconds
2026-01-15 16:15:39,960 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/90 DOWN for 16 seconds
2026-01-15 16:15:39,967 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/93 DOWN for 16 seconds
2026-01-15 16:15:39,970 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/91 DOWN for 16 seconds
2026-01-15 16:15:39,970 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/98 DOWN for 16 seconds
2026-01-15 16:15:39,970 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/95 DOWN for 16 seconds
2026-01-15 16:15:39,973 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/92 DOWN for 16 seconds
2026-01-15 16:15:39,973 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/99 DOWN for 16 seconds
2026-01-15 16:15:39,973 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/97 DOWN for 16 seconds
2026-01-15 16:15:39,975 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/96 DOWN for 16 seconds
2026-01-15 16:15:39,975 | ERROR | MainThread | 🚨 ALERT: http://example.com/api/94 DOWN for 16 seconds
